ride_id,time,lat,lng
37,74944,41.9032,-87.6343
38,46926,41.8964,-87.6541
38,47274,41.8846,-87.6446
39,48564,41.9199,-87.6488
39,48933,41.9331,-87.6478
40,56490,41.9253,-87.6658
40,56532,41.9253,-87.6658
41,20450,41.7996,-87.5947
41,20891,41.7916,-87.6079
42,47370,41.9032,-87.6343
42,47840,41.8967,-87.6357
43,52738,42.0482,-87.6835
43,53961,42.016,-87.6686
44,25179,41.9097,-87.6481
44,26071,41.9494,-87.6545
45,61343,41.9295,-87.6431
45,62769,41.9007,-87.6626
46,43024,41.8949,-87.6323
46,45285,41.9029,-87.6377
47,58812,41.8421,-87.617
47,60225,41.8421,-87.617
48,21945,41.89,-87.6366
48,22063,41.8858,-87.6355
49,65361,41.9029,-87.6873
49,66242,41.9035,-87.6434
50,65369,41.9357,-87.6636
50,67245,41.9784,-87.6598
51,70272,41.9259,-87.639
51,70936,41.899,-87.6299
52,76213,41.9013,-87.6774
52,76649,41.8955,-87.682
53,52149,41.8743,-87.6396
53,52284,41.8703,-87.6395
54,44602,41.9547,-87.6739
54,45467,41.9547,-87.6739
55,25665,41.9363,-87.6527
55,26846,41.8978,-87.6429
56,58522,41.8945,-87.6179
56,59390,41.8679,-87.623
57,67489,41.9295,-87.6842
57,68794,41.8887,-87.6444
58,27935,41.7952,-87.5807
58,28475,41.7993,-87.601
59,69681,41.9611,-87.6954
59,71557,41.9611,-87.6954
60,46116,41.8307,-87.6472
60,46566,41.8385,-87.6354
61,61236,41.9199,-87.6488
61,61397,41.9182,-87.6569
62,39618,41.8708,-87.6257
62,39793,41.8728,-87.624
63,58937,41.9146,-87.668
63,60480,41.9146,-87.668
64,65495,41.8759,-87.6306
64,66271,41.8759,-87.6306
65,74092,41.8899,-87.6343
65,74702,41.8957,-87.6201
66,34433,41.8958,-87.6772
66,34622,41.9013,-87.6774
67,53064,41.9397,-87.6589
67,54725,41.8947,-87.6344
68,22355,41.8804,-87.6555
68,22773,41.8813,-87.6295
69,66924,41.9652,-87.6581
69,67766,41.9836,-87.6692
70,68833,41.8944,-87.6227
70,69444,41.8887,-87.6444
71,64935,41.8912,-87.6769
71,65715,41.8912,-87.6769
72,54941,41.8759,-87.6306
72,55360,41.8834,-87.6412
73,53880,41.9296,-87.7079
73,55630,41.9098,-87.7053
74,62558,41.8741,-87.6277
74,64515,41.8427,-87.6355
75,48832,41.875,-87.6733
75,49463,41.8837,-87.6487
76,45880,41.9482,-87.6639
76,46711,41.9756,-87.6795
77,45125,41.8385,-87.6354
77,45681,41.8307,-87.6472
78,40310,41.9007,-87.6626
78,42261,41.9357,-87.6636
79,55217,41.9579,-87.6495
79,55494,41.9528,-87.65
80,50699,41.9324,-87.6527
80,50797,41.9324,-87.6527
81,77786,41.8624,-87.6511
81,78533,41.8624,-87.6511
82,59997,42.001,-87.6612
82,61222,42.0417,-87.6807
83,678,41.8708,-87.6257
83,711,41.8708,-87.6257
84,69226,42.016,-87.675
84,71440,41.984,-87.6603
85,46855,41.9671,-87.6674
85,47758,41.9897,-87.6601
86,62737,41.9312,-87.6443
86,63128,41.9157,-87.6346
87,68557,41.8417,-87.6269
87,68689,41.8417,-87.6269
88,41425,41.8856,-87.6418
88,42184,41.8899,-87.6715
89,29152,41.9397,-87.6589
89,30788,41.8945,-87.6179
90,404,41.8969,-87.6217
90,841,41.908,-87.6315
91,67000,41.9295,-87.6431
91,67700,41.9067,-87.6348
92,42936,41.9202,-87.693
92,44234,41.9102,-87.6823
93,53016,41.9121,-87.6347
93,56366,41.9139,-87.6488
94,54782,41.9542,-87.6544
94,56883,41.9542,-87.6544
95,19815,41.9215,-87.6538
95,19971,41.9199,-87.6488
96,63853,41.9695,-87.6547
96,64717,41.9363,-87.6527
97,83179,41.9032,-87.6343
97,83797,41.8892,-87.6278
98,60883,41.984,-87.6603
98,61714,41.984,-87.6603
99,58997,41.9671,-87.6674
99,60748,41.9671,-87.6674
100,39376,41.8982,-87.6375
100,39771,41.8982,-87.6375
101,31333,41.8938,-87.6417
101,31862,41.8957,-87.6201
102,31627,41.9437,-87.649
102,32358,41.9256,-87.6584
103,67183,41.8958,-87.6259
103,69260,41.8968,-87.6309
104,62221,41.8944,-87.6227
104,63080,41.8834,-87.6412
105,67783,41.7943,-87.6015
105,67942,41.7993,-87.601
106,57786,42.0123,-87.6882
106,58495,42.0018,-87.6888
107,36819,41.9035,-87.6434
107,37020,41.9002,-87.643
108,34886,41.9259,-87.639
108,36959,41.9659,-87.7008
109,41804,41.9097,-87.6481
109,42419,41.8938,-87.6417
110,49435,41.9507,-87.6687
110,51739,41.9401,-87.6455
111,72346,41.9494,-87.6545
111,72739,41.9402,-87.653
112,35424,41.7585,-87.6064
112,36155,41.757,-87.6246
113,59727,41.9126,-87.6814
113,61424,41.9296,-87.7079
114,54683,41.9312,-87.6443
114,55741,41.9561,-87.6688
115,55112,42.0091,-87.6742
115,55494,42.0106,-87.6624
116,42888,41.8915,-87.6268
116,46236,41.903,-87.6313
117,59009,41.8417,-87.6269
117,60060,41.8762,-87.6244
118,61553,41.903,-87.6313
118,64402,41.903,-87.6313
119,61482,41.8846,-87.6446
119,62254,41.8777,-87.6548
120,61799,41.8986,-87.6219
120,63410,41.8984,-87.6866
121,61978,41.9035,-87.6677
121,62933,41.914,-87.7051
122,43027,41.8349,-87.6179
122,44926,41.7993,-87.601
123,55806,42.0192,-87.6736
123,58268,42.0192,-87.6736
124,36881,41.9579,-87.6495
124,38156,41.9579,-87.6495
125,72634,41.8794,-87.6355
125,73372,41.8904,-87.6175
126,70121,41.8974,-87.6287
126,70737,41.8794,-87.6355
127,65252,41.894,-87.6293
127,66416,41.8915,-87.6268
128,66853,41.8783,-87.6439
128,67247,41.8794,-87.6298
129,39027,41.8501,-87.6321
129,39769,41.8708,-87.6257
130,47872,41.8947,-87.6384
130,49122,41.9288,-87.6685
131,44982,41.8581,-87.6511
131,45230,41.8576,-87.6615
132,80950,41.894,-87.6293
132,81912,41.9259,-87.639
133,47848,41.8918,-87.6588
133,49492,41.8958,-87.6772
134,27151,41.8722,-87.6615
134,27437,41.8713,-87.6737
135,56016,41.9313,-87.6387
135,56131,41.9326,-87.6364
136,25242,41.8858,-87.6355
136,25503,41.8793,-87.632
137,53048,41.9102,-87.6435
137,54251,41.8964,-87.6541
138,51294,41.9291,-87.6491
138,52381,41.8969,-87.6217
139,58282,41.8832,-87.6511
139,58984,41.8582,-87.6565
140,66598,41.8672,-87.626
140,67597,41.8582,-87.6565
141,70404,41.9363,-87.6527
141,72158,41.9267,-87.6977
142,58370,41.9671,-87.6674
142,62466,41.9671,-87.6674
143,55835,41.8855,-87.6523
143,56912,41.8895,-87.6882
144,63713,41.8094,-87.5919
144,64070,41.7995,-87.5865
145,64023,41.9633,-87.6793
145,64500,41.9571,-87.6642
146,56826,41.8899,-87.6343
146,56854,41.8899,-87.6343
147,55297,41.9105,-87.6531
147,56668,41.8776,-87.6496
148,75158,41.8842,-87.6296
148,75572,41.8887,-87.6444
149,72223,42.0582,-87.6774
149,73730,42.0582,-87.6774
150,73028,41.9287,-87.6538
150,73175,41.9215,-87.6538
151,67175,41.8999,-87.6344
151,67538,41.8949,-87.6323
152,23610,41.9102,-87.6435
152,24424,41.8803,-87.6352
153,55747,41.9312,-87.6443
153,56438,41.9182,-87.6569
154,70320,41.9157,-87.6346
154,71087,41.9313,-87.6387
155,60642,41.9183,-87.6363
155,61556,41.9222,-87.6389
156,63753,41.9482,-87.6639
156,64560,41.9287,-87.6538
157,62531,41.8675,-87.6322
157,64071,41.8777,-87.6548
158,63098,41.8721,-87.6295
158,65090,41.8708,-87.6257
159,47537,41.9488,-87.6753
159,50308,41.9408,-87.6392
160,62423,41.9069,-87.6262
160,63253,41.8856,-87.6418
161,54504,41.8946,-87.6534
161,54674,41.8946,-87.6534
162,33240,41.9067,-87.6348
162,34013,41.9295,-87.6431
163,26390,41.9157,-87.6346
163,27264,41.8945,-87.6179
164,66680,41.8915,-87.6268
164,67787,41.9199,-87.6488
165,63958,41.8957,-87.6201
165,64353,41.8904,-87.6175
166,62042,41.8692,-87.671
166,62768,41.8549,-87.6636
167,60240,41.9611,-87.6954
167,60378,41.9611,-87.6954
168,57586,41.8747,-87.6864
168,58011,41.8736,-87.7049
169,80590,41.7588,-87.5664
169,80791,41.7518,-87.5652
170,44482,41.9359,-87.6784
170,46282,41.8845,-87.6963
171,55045,41.8803,-87.6352
171,55346,41.8708,-87.6312
172,58052,41.8842,-87.6296
172,59956,41.9097,-87.6481
173,46207,41.8856,-87.6418
173,46657,41.8915,-87.6268
174,54537,41.9993,-87.6714
174,55545,42.0209,-87.6651
175,56412,41.8899,-87.6343
175,56760,41.886,-87.6241
176,33358,41.9295,-87.6431
176,34631,41.9102,-87.6823
177,62232,41.8741,-87.6277
177,62826,41.8721,-87.6295
178,22102,41.9579,-87.6495
178,22653,41.9363,-87.6527
179,35085,41.9313,-87.6387
179,36293,41.8813,-87.6295
180,56811,41.8267,-87.6831
180,58719,41.8538,-87.6466
181,61738,41.903,-87.6313
181,62529,41.8868,-87.6223
182,64364,41.9033,-87.6784
182,64385,41.9033,-87.6784
183,74308,41.8721,-87.6295
183,75304,41.8918,-87.6206
184,50869,41.886,-87.6241
184,52418,41.9121,-87.6347
185,61349,41.899,-87.6299
185,62005,41.8967,-87.6357
186,28015,41.9157,-87.6346
186,28660,41.8944,-87.6227
187,59368,41.8813,-87.6295
187,59482,41.8782,-87.6319
188,80987,41.9312,-87.6443
188,81346,41.9183,-87.6363
189,25878,41.7801,-87.6159
189,26140,41.7801,-87.6297
190,65749,41.9183,-87.6363
190,67336,41.9117,-87.6268
191,64902,41.8748,-87.6498
191,67865,41.8748,-87.6498
192,66407,41.9259,-87.639
192,67080,41.9367,-87.6368
193,59235,41.9544,-87.648
193,59477,41.9491,-87.6486
194,47448,41.8955,-87.682
194,48617,41.8957,-87.6201
195,53532,41.9691,-87.6742
195,54215,41.9571,-87.6642
196,26541,41.9201,-87.6779
196,27889,41.8827,-87.6325
197,60429,41.9287,-87.6538
197,60974,41.9437,-87.664
198,63469,41.8863,-87.6175
198,64405,41.8863,-87.6175
199,60003,41.9007,-87.6626
199,61972,41.9007,-87.6626
200,57482,41.9126,-87.6814
200,59524,41.9126,-87.6814
201,34308,41.908,-87.6315
201,35663,41.8847,-87.6277
202,34917,41.8541,-87.6858
202,36685,41.8671,-87.6411
203,27158,41.8938,-87.6417
203,27709,41.8793,-87.632
204,66395,41.9029,-87.6873
204,67906,41.9029,-87.6873
205,61041,41.9031,-87.6739
205,61934,41.9031,-87.6739
206,61331,41.9633,-87.6793
206,62066,41.968,-87.65
207,26536,41.9499,-87.7139
207,26762,41.9473,-87.7176
208,22269,41.8821,-87.6398
208,22593,41.8759,-87.6306
209,82712,41.9365,-87.6475
209,83587,41.9067,-87.6348
210,49831,41.8726,-87.6335
210,50142,41.8794,-87.6298
211,71800,41.8964,-87.6541
211,72068,41.8887,-87.6444
212,64843,41.9733,-87.6678
212,65080,41.9738,-87.6597
213,23787,41.8899,-87.6343
213,24214,41.8781,-87.6398
214,18740,41.8793,-87.632
214,18808,41.8794,-87.6298
215,68453,42.0417,-87.6807
215,69910,42.0209,-87.6651
216,84534,41.9094,-87.6777
216,86210,41.9306,-87.7238
217,56036,41.9137,-87.6529
217,56622,41.8938,-87.6417
218,61876,41.9433,-87.671
218,62821,41.9491,-87.6486
219,27157,41.8581,-87.6511
219,27589,41.8748,-87.6498
220,39109,41.9493,-87.6463
220,40464,41.9139,-87.6488
221,58179,41.9102,-87.6823
221,59266,41.9002,-87.643
222,76795,41.9182,-87.6569
222,77462,41.9029,-87.6377
223,50106,41.903,-87.6313
223,50552,41.8986,-87.6219
224,48043,41.9494,-87.6545
224,48574,41.961,-87.6496
225,50999,41.8956,-87.6721
225,51103,41.8958,-87.6772
226,63821,41.8721,-87.6295
226,66244,41.8721,-87.6295
227,66652,41.8899,-87.6343
227,67753,41.8847,-87.6195
228,28330,41.9488,-87.6753
228,28936,41.9402,-87.653
229,65381,42.0483,-87.6982
229,65753,42.0482,-87.6835
230,67588,41.8949,-87.6323
230,68436,41.894,-87.6293
231,56251,41.8944,-87.6227
231,57256,41.9137,-87.6529
232,61031,41.9544,-87.648
232,61268,41.961,-87.6496
233,45756,41.8904,-87.6175
233,48383,41.9508,-87.6592
234,67570,41.8822,-87.6411
234,69567,41.8892,-87.6385
235,25042,41.9394,-87.6684
235,25762,41.9295,-87.6431
236,65288,41.8708,-87.6312
236,66121,41.8708,-87.6312
237,63955,41.8793,-87.632
237,64311,41.894,-87.6293
238,55714,41.8819,-87.6488
238,56265,41.8722,-87.6615
239,50830,41.8541,-87.6858
239,51734,41.8581,-87.6511
240,66548,41.8986,-87.6219
240,68021,41.8722,-87.6615
241,66775,41.9002,-87.643
241,67019,41.8999,-87.6344
242,57413,41.903,-87.6313
242,58532,41.884,-87.6247
243,51249,41.9397,-87.6589
243,52966,41.9684,-87.7118
244,61452,41.901,-87.6238
244,62266,41.9157,-87.6346
245,56633,41.8802,-87.7553
245,56810,41.8801,-87.7632
246,29755,41.8958,-87.6259
246,30145,41.8899,-87.6343
247,62963,41.9455,-87.6464
247,63406,41.9402,-87.653
248,24550,41.8967,-87.6357
248,24910,41.8957,-87.6201
249,57580,41.8415,-87.6851
249,60021,41.8675,-87.6322
250,61341,42.0636,-87.6987
250,63658,41.9993,-87.6714
251,65685,41.9105,-87.6531
251,66696,41.89,-87.6366
252,17313,41.9023,-87.6277
252,17656,41.8957,-87.6201
253,49943,41.9121,-87.6347
253,50284,41.8967,-87.6357
254,62223,41.9507,-87.6687
254,65330,41.9507,-87.6687
255,82227,41.8722,-87.6615
255,82813,41.8581,-87.6511
256,55326,41.8024,-87.5869
256,55570,41.7996,-87.5947
257,57762,41.908,-87.6315
257,58413,41.8964,-87.6541
258,44660,41.9942,-87.6894
258,46626,41.9942,-87.6894
259,60471,41.9071,-87.6673
259,60644,41.9146,-87.668
260,51407,41.9256,-87.6537
260,52415,41.8899,-87.6343
261,64540,41.9268,-87.6344
261,65574,41.9491,-87.6486
262,56828,41.943,-87.6873
262,57867,41.9659,-87.6936
263,73748,42.0582,-87.6774
263,75178,42.0529,-87.6734
264,74149,41.9377,-87.6441
264,74654,41.9493,-87.6463
265,29302,41.8695,-87.6555
265,29693,41.8692,-87.671
266,41812,41.8982,-87.6375
266,42826,41.9377,-87.6441
267,41406,41.9671,-87.6674
267,41891,41.9615,-87.6714
268,22761,41.984,-87.6603
268,24229,41.9183,-87.6363
269,53425,41.9117,-87.6268
269,54842,41.9117,-87.6268
270,36481,41.8847,-87.6195
270,36995,41.8846,-87.6446
271,47963,41.8514,-87.6188
271,48341,41.8641,-87.6237
272,66830,41.8777,-87.6548
272,67343,41.8828,-87.6612
273,67007,41.9402,-87.653
273,67397,41.9528,-87.65
274,66166,41.8916,-87.6484
274,66261,41.8916,-87.6484
275,30907,41.8892,-87.6385
275,31187,41.8834,-87.6412
276,42571,41.9147,-87.6433
276,42757,41.9137,-87.6529
277,45191,41.9784,-87.6598
277,46659,41.9617,-87.6546
278,64526,41.9268,-87.6344
278,65580,41.9491,-87.6486
279,59873,41.8762,-87.6244
279,60299,41.8672,-87.626
280,68048,41.8579,-87.6687
280,68573,41.855,-87.6757
281,55189,41.912,-87.6319
281,56394,41.9361,-87.6698
282,67614,41.8579,-87.6687
282,68271,41.8579,-87.6687
283,67410,42.008,-87.6655
283,70466,42.008,-87.6655
284,69806,41.9139,-87.6488
284,70430,41.9324,-87.6527
285,41828,41.8968,-87.6309
285,42694,41.8992,-87.6722
286,62363,41.8916,-87.6484
286,63076,41.8899,-87.6715
287,155,41.8604,-87.6258
287,645,41.8708,-87.6257
288,62199,41.9185,-87.6974
288,62315,41.9227,-87.6972
289,78419,41.9114,-87.6387
289,78596,41.9067,-87.6348
290,71775,41.8692,-87.671
290,72136,41.8695,-87.6555
291,70108,41.886,-87.6309
291,70858,41.8846,-87.6319
292,61765,41.7996,-87.5947
292,62248,41.7952,-87.5807
293,31837,41.8904,-87.6175
293,32597,41.8641,-87.6237
294,60960,41.7952,-87.5807
294,62843,41.7952,-87.5807
295,52967,41.9437,-87.664
295,54395,41.9067,-87.6348
296,64508,41.9146,-87.668
296,66482,41.916,-87.6773
297,31045,41.9218,-87.6441
297,33747,41.9218,-87.6441
298,58002,41.9029,-87.6873
298,59739,41.9029,-87.6873
299,57568,41.8415,-87.6851
299,60015,41.8675,-87.6322
300,73214,41.8968,-87.6309
300,76119,41.8846,-87.6319
301,56115,41.9002,-87.643
301,57050,41.9102,-87.6823
302,39039,41.8841,-87.6569
302,41247,41.8841,-87.6569
303,43277,41.9035,-87.6677
303,43613,41.8964,-87.6541
304,72746,41.9942,-87.6894
304,74336,41.9473,-87.7176
305,50783,41.9267,-87.6977
305,51625,41.8905,-87.7026
306,82222,41.916,-87.6689
306,82606,41.9201,-87.6779
307,41059,41.8672,-87.626
307,41143,41.8679,-87.623
308,49597,41.9367,-87.6368
308,51519,41.9367,-87.6368
309,63671,41.8721,-87.6295
309,63809,41.8721,-87.6295
310,67753,41.8915,-87.6268
310,68747,41.8679,-87.623
311,52196,41.9105,-87.6531
311,52754,41.9032,-87.6343
312,52234,41.886,-87.6241
312,53728,41.8842,-87.6296
313,66251,41.9035,-87.6434
313,66717,41.9069,-87.6262
314,67138,41.956,-87.6803
314,67275,41.9579,-87.6736
315,73981,41.8837,-87.6487
315,75379,41.8916,-87.6484
316,74952,41.9032,-87.6343
316,75111,41.903,-87.6313
317,69015,41.9104,-87.6972
317,71336,41.9494,-87.6545
318,48738,41.8672,-87.626
318,50402,41.8708,-87.6257
319,61863,41.9361,-87.6698
319,62341,41.9365,-87.6475
320,64734,41.9157,-87.6346
320,66055,41.8847,-87.6195
321,42360,41.8721,-87.6295
321,43151,41.8653,-87.6179
322,29635,41.8842,-87.6296
322,30165,41.8777,-87.6353
323,37079,41.9259,-87.639
323,37832,41.9259,-87.639
324,68917,41.7915,-87.5999
324,69307,41.7993,-87.601
325,30402,41.7932,-87.5878
325,30721,41.7943,-87.6015
326,50233,41.9367,-87.6368
326,53572,41.8906,-87.6221
327,64848,41.8777,-87.6548
327,65508,41.8887,-87.6444
328,53645,41.903,-87.6313
328,54535,41.9184,-87.6522
329,52628,41.8781,-87.6398
329,55189,41.9359,-87.6784
330,60965,41.9357,-87.6636
330,62663,41.8947,-87.6384
331,61348,41.8457,-87.6225
331,62426,41.8772,-87.6394
332,60881,41.8892,-87.6278
332,61298,41.8887,-87.6444
333,65644,41.8904,-87.6175
333,67048,41.8911,-87.6666
334,36348,41.9528,-87.65
334,36688,41.9402,-87.653
335,67042,41.8947,-87.6344
335,69653,41.8947,-87.6344
336,42139,41.8984,-87.6866
336,42555,41.896,-87.6677
337,64106,41.8868,-87.6223
337,65572,41.9183,-87.6363
338,48470,41.8904,-87.6175
338,50229,41.8904,-87.6175
339,48484,41.8982,-87.6375
339,48907,41.9097,-87.6481
340,62923,41.9097,-87.6481
340,65198,41.9542,-87.6544
341,47860,41.8813,-87.6295
341,48737,41.9076,-87.6386
342,26872,41.8782,-87.6319
342,27012,41.8813,-87.6295
343,63144,41.9094,-87.6777
343,67577,41.9094,-87.6777
344,60773,41.8794,-87.6355
344,62546,41.9324,-87.6527
345,58375,41.8776,-87.6496
345,58946,41.8581,-87.6511
346,53596,41.8813,-87.6295
346,53920,41.8902,-87.6262
347,29879,41.8969,-87.6217
347,30739,41.8996,-87.6677
348,45585,41.8309,-87.628
348,48640,41.8542,-87.6192
349,61091,41.8968,-87.6309
349,62170,41.8741,-87.6277
350,40619,41.891,-87.6355
350,40870,41.8887,-87.6444
351,68333,41.9367,-87.6368
351,69391,41.9319,-87.6779
352,55292,41.8892,-87.6385
352,55947,41.9023,-87.6277
353,58513,41.9137,-87.6529
353,59311,41.8964,-87.661
354,62916,41.8944,-87.6227
354,63561,41.8708,-87.6257
355,27123,41.9365,-87.6475
355,27323,41.9367,-87.6368
356,64758,41.8892,-87.6385
356,65447,41.8918,-87.6206
357,58894,41.8899,-87.6343
357,59879,41.9259,-87.6493
358,67556,41.9117,-87.6268
358,68773,41.8868,-87.6223
359,55349,41.881,-87.6167
359,57242,41.8795,-87.6257
360,47842,41.9542,-87.6644
360,48616,41.9408,-87.6392
361,55627,41.9035,-87.6677
361,56062,41.8958,-87.6772
362,23479,41.855,-87.6757
362,23800,41.8549,-87.6636
363,24333,41.8947,-87.6344
363,24675,41.8945,-87.6179
364,65393,41.8915,-87.6268
364,66403,41.8649,-87.6471
365,54733,41.9542,-87.6544
365,56889,41.9542,-87.6544
366,69072,41.9029,-87.6873
366,69458,41.9104,-87.6972
367,63703,41.8992,-87.6722
367,64729,41.8968,-87.6309
368,47422,41.8957,-87.6201
368,47644,41.894,-87.6293
369,62720,41.9227,-87.6972
369,62838,41.9185,-87.6974
370,55568,41.8964,-87.661
370,56085,41.9035,-87.6434
371,60717,41.9157,-87.6346
371,60799,41.9121,-87.6347
372,29642,41.9312,-87.6443
372,30279,41.9097,-87.6481
373,23720,41.9543,-87.6861
373,25066,41.9493,-87.6463
374,70480,42.016,-87.6686
374,71422,41.9905,-87.6698
375,58760,41.8736,-87.7049
375,59318,41.8747,-87.6864
376,40290,41.9007,-87.6626
376,42274,41.9357,-87.6636
377,48237,41.858,-87.6408
377,50831,41.8703,-87.6395
378,48064,41.886,-87.6241
378,49117,41.8679,-87.623
379,55190,41.8722,-87.6615
379,55772,41.8686,-87.6862
380,65580,41.9295,-87.6431
380,67061,41.8915,-87.6268
381,43219,41.8958,-87.6772
381,43912,41.8964,-87.6541
382,48254,41.896,-87.6677
382,48888,41.9013,-87.6774
383,57994,41.9078,-87.6859
383,58587,41.8996,-87.6677
384,66256,41.8721,-87.6295
384,67551,41.8721,-87.6295
385,60507,41.9067,-87.6348
385,65969,41.9103,-87.6701
386,18832,41.8794,-87.6298
386,19197,41.8672,-87.626
387,64968,41.9493,-87.6463
387,66183,41.9493,-87.6463
388,66881,41.956,-87.6803
388,67209,41.9671,-87.679
389,27820,41.9312,-87.6443
389,28838,41.9493,-87.6463
390,47930,41.9069,-87.6262
390,48118,41.903,-87.6313
391,50374,41.9098,-87.7053
391,51297,41.9077,-87.6726
392,44882,41.9181,-87.6437
392,45088,41.9199,-87.6488
393,62865,41.8746,-87.657
393,63883,41.896,-87.6677
394,69894,41.8916,-87.6484
394,71413,41.8855,-87.6523
395,29719,41.9617,-87.6546
395,30894,41.9222,-87.6389
396,53493,41.8579,-87.6687
396,54882,41.8267,-87.6831
397,31238,41.8783,-87.6439
397,31849,41.8899,-87.6343
398,49496,41.8832,-87.6511
398,50043,41.873,-87.6691
399,51970,41.8847,-87.6195
399,52374,41.8944,-87.6227
400,76395,41.9183,-87.6363
400,76733,41.9182,-87.6569
401,40536,41.9139,-87.6488
401,41855,41.9493,-87.6463
402,61432,41.9097,-87.6481
402,64038,41.9097,-87.6481
403,63194,41.908,-87.6315
403,65151,41.908,-87.6315
404,68126,41.9094,-87.6777
404,68839,41.9199,-87.6488
405,41155,41.8783,-87.6439
405,41348,41.8777,-87.6353
406,59326,41.8999,-87.6344
406,61046,41.9067,-87.6348
407,27858,41.9185,-87.6974
407,29920,41.9185,-87.6974
408,51205,41.8955,-87.682
408,53965,41.8955,-87.682
409,63812,41.8672,-87.626
409,64726,41.8576,-87.6615
410,28086,41.9659,-87.6936
410,29028,41.943,-87.6873
411,59966,41.8992,-87.6722
411,60776,41.8958,-87.6772
412,28455,41.8847,-87.6195
412,28865,41.8794,-87.6298
413,27891,41.8793,-87.6399
413,28513,41.8863,-87.6175
414,70960,41.8915,-87.6268
414,72777,41.9367,-87.6368
415,58543,41.9401,-87.6455
415,59086,41.9408,-87.6392
416,55948,41.9738,-87.6597
416,56179,41.9733,-87.6678
417,77048,41.875,-87.6331
417,79596,41.8313,-87.6088
418,28377,41.9155,-87.687
418,29830,41.8793,-87.632
419,66379,41.9296,-87.7079
419,67155,41.9103,-87.6701
420,59359,41.8947,-87.6384
420,60849,41.9357,-87.6636
421,64337,41.9331,-87.6478
421,66769,41.8847,-87.6277
422,62056,41.9177,-87.6914
422,63759,41.9147,-87.6433
423,45269,41.8945,-87.6179
423,48795,41.8949,-87.6323
424,60113,41.8847,-87.6195
424,60663,41.8813,-87.6295
425,63750,41.8514,-87.6188
425,64527,41.8624,-87.6511
426,19310,41.8887,-87.6444
426,21094,41.8955,-87.7061
427,63284,41.908,-87.6315
427,65058,41.908,-87.6315
428,60641,41.9035,-87.6677
428,61634,41.89,-87.6366
429,56421,41.9253,-87.6658
429,56477,41.9253,-87.6658
430,66355,41.9002,-87.643
430,66908,41.908,-87.6315
431,45991,41.9126,-87.6814
431,46754,41.8984,-87.6866
432,55934,41.8362,-87.6135
432,57479,41.8708,-87.6312
433,65771,41.8717,-87.651
433,67903,41.8582,-87.6565
434,60875,41.8671,-87.6411
434,62910,41.9097,-87.6481
435,49772,41.8847,-87.6195
435,50103,41.8846,-87.6319
436,64009,41.9671,-87.6674
436,64960,41.9377,-87.6441
437,68312,41.9296,-87.7079
437,68821,41.9452,-87.7067
438,43444,41.9324,-87.6527
438,45276,41.9397,-87.6589
439,61607,41.8834,-87.6412
439,61852,41.8842,-87.6296
440,58303,41.8841,-87.6569
440,61116,41.8841,-87.6569
441,65146,41.903,-87.6975
441,65349,41.9029,-87.6873
442,50256,41.873,-87.6691
