task_id,region_id,slot_id,start_time,end_time,required_workers,weight,candidate_capacity
t72_002,72,128,76800,77399,3,3,3
t64_023,64,96,57600,58199,1,1,41
t55_035,55,140,84000,84599,3,3,31
t54_035,54,64,38400,38999,2,2,27
t64_024,64,122,73200,73799,3,3,32
t64_025,64,101,60600,61199,1,1,32
t93_001,93,110,66000,66599,3,3,4
t75_022,75,74,44400,44999,1,1,26
t63_021,63,96,57600,58199,3,3,21
t86_011,86,126,75600,76199,3,3,9
t55_036,55,126,75600,76199,2,2,33
t63_022,63,3,1800,2399,3,3,26
t72_003,72,108,64800,65399,1,1,3
t44_020,44,1,600,1199,1,1,19
t54_036,54,42,25200,25799,1,1,16
t74_010,74,60,36000,36599,1,1,11
t55_037,55,111,66600,67199,1,1,35
t87_001,87,74,44400,44999,2,2,2
t53_035,53,96,57600,58199,1,1,39
t60_001,60,50,30000,30599,1,1,1
t54_037,54,92,55200,55799,1,1,38
t96_011,96,119,71400,71999,1,1,5
t94_004,94,60,36000,36599,2,2,2
t56_009,56,135,81000,81599,3,3,4
t44_021,44,68,40800,41399,2,2,12
t42_005,42,84,50400,50999,1,1,4
t65_027,65,138,82800,83399,2,2,25
t55_038,55,137,82200,82799,2,2,25
t65_028,65,85,51000,51599,1,1,32
t44_022,44,127,76200,76799,2,2,23
t34_011,34,61,36600,37199,3,3,8
t65_029,65,46,27600,28199,2,2,25
t73_012,73,16,9600,10199,3,3,7
t43_009,43,107,64200,64799,2,2,16
t32_003,32,87,52200,52799,3,3,3
t62_007,62,77,46200,46799,3,3,3
t53_036,53,86,51600,52199,1,1,35
t64_026,64,68,40800,41399,2,2,23
t53_037,53,106,63600,64199,3,3,28
t63_023,63,75,45000,45599,3,3,20
t63_024,63,35,21000,21599,3,3,11
t55_039,55,70,42000,42599,2,2,25
t63_025,63,3,1800,2399,1,1,26
t75_023,75,77,46200,46799,3,3,30
t65_030,65,36,21600,22199,2,2,19
t65_031,65,30,18000,18599,3,3,22
t55_040,55,89,53400,53999,2,2,31
t34_012,34,26,15600,16199,3,3,6
t53_038,53,103,61800,62399,2,2,28
t65_032,65,95,57000,57599,2,2,28
t44_023,44,98,58800,59399,3,3,27
t63_026,63,124,74400,74999,3,3,27
t48_004,48,137,82200,82799,1,1,6
t54_038,54,36,21600,22199,3,3,19
t65_033,65,40,24000,24599,2,2,21
t43_010,43,143,85800,86399,2,2,8
t24_000,24,41,24600,25199,2,2,2
t96_012,96,126,75600,76199,2,2,4
t98_004,98,30,18000,18599,2,2,8
t34_013,34,96,57600,58199,1,1,4
t32_004,32,81,48600,49199,1,1,2
t54_039,54,104,62400,62999,3,3,35
t53_039,53,114,68400,68999,2,2,30
t62_008,62,88,52800,53399,3,3,3
t43_011,43,29,17400,17999,2,2,7
t65_034,65,64,38400,38999,3,3,27
t75_024,75,77,46200,46799,2,2,30
t76_002,76,137,82200,82799,2,2,2
t53_040,53,133,79800,80399,1,1,25
t56_010,56,53,31800,32399,2,2,2
t79_002,79,45,27000,27599,1,1,1
t93_002,93,123,73800,74399,1,1,3
t52_006,52,96,57600,58199,3,3,8
t64_027,64,77,46200,46799,1,1,39
t99_002,99,135,81000,81599,1,1,1
t63_027,63,64,38400,38999,1,1,26
t44_024,44,4,2400,2999,3,3,18
t43_012,43,53,31800,32399,3,3,9
t55_041,55,10,6000,6599,1,1,25
t42_006,42,122,73200,73799,1,1,8
t64_028,64,84,50400,50999,1,1,29
t53_041,53,136,81600,82199,2,2,28
t56_011,56,130,78000,78599,2,2,7
t95_004,95,32,19200,19799,2,2,3
t63_028,63,94,56400,56999,2,2,22
t45_011,45,69,41400,41999,1,1,9
t64_029,64,125,75000,75599,1,1,21
t86_012,86,132,79200,79799,3,3,14
t75_025,75,94,56400,56999,1,1,20
t42_007,42,6,3600,4199,3,3,4
t55_042,55,142,85200,85799,2,2,26
t75_026,75,63,37800,38399,1,1,24
t63_029,63,52,31200,31799,2,2,7
t53_042,53,140,84000,84599,2,2,25
t55_043,55,6,3600,4199,3,3,21
t83_003,83,27,16200,16799,1,1,1
t55_044,55,71,42600,43199,2,2,24
t48_005,48,57,34200,34799,2,2,5
t63_030,63,119,71400,71999,3,3,27
t48_006,48,49,29400,29999,1,1,5
t73_013,73,87,52200,52799,3,3,15
t84_004,84,64,38400,38999,3,3,7
t65_035,65,109,65400,65999,3,3,35
t64_030,64,76,45600,46199,3,3,38
t44_025,44,48,28800,29399,2,2,12
t53_043,53,10,6000,6599,3,3,24
t75_027,75,66,39600,40199,3,3,27
t43_013,43,57,34200,34799,2,2,8
t65_036,65,138,82800,83399,3,3,25
t96_013,96,49,29400,29999,1,1,12
t43_014,43,121,72600,73199,1,1,14
t44_026,44,76,45600,46199,1,1,18
t50_001,50,71,42600,43199,1,1,1
t75_028,75,68,40800,41399,2,2,27
t44_027,44,111,66600,67199,3,3,23
t94_005,94,59,35400,35999,3,3,3
t56_012,56,105,63000,63599,1,1,12
t98_005,98,132,79200,79799,1,1,2
t75_029,75,35,21000,21599,2,2,19
t44_028,44,97,58200,58799,2,2,30
t64_031,64,96,57600,58199,2,2,41
t52_007,52,123,73800,74399,2,2,6
t96_014,96,20,12000,12599,1,1,11
t53_044,53,79,47400,47999,1,1,41
t75_030,75,128,76800,77399,1,1,11
t37_001,37,29,17400,17999,2,2,2
t75_031,75,48,28800,29399,1,1,27
t35_010,35,22,13200,13799,2,2,4
t97_008,97,48,28800,29399,2,2,19
t44_029,44,120,72000,72599,3,3,18
t65_037,65,57,34200,34799,2,2,26
t66_001,66,115,69000,69599,2,2,5
t65_038,65,62,37200,37799,2,2,34
t45_012,45,124,74400,74999,2,2,11
t97_009,97,48,28800,29399,2,2,19
t63_031,63,90,54000,54599,1,1,31
t55_045,55,88,52800,53399,1,1,29
t27_000,27,50,30000,30599,1,1,1
t63_032,63,76,45600,46199,1,1,22
t44_030,44,112,67200,67799,2,2,21
t52_008,52,54,32400,32999,1,1,3
t75_032,75,99,59400,59999,3,3,18
t54_040,54,116,69600,70199,1,1,26
t55_046,55,122,73200,73799,3,3,27
t97_010,97,58,34800,35399,1,1,8
t43_015,43,119,71400,71999,3,3,9
t86_013,86,17,10200,10799,1,1,5
t97_011,97,38,22800,23399,1,1,11
t63_033,63,126,75600,76199,3,3,20
t86_014,86,67,40200,40799,3,3,11
t63_034,63,123,73800,74399,2,2,30
t33_007,33,83,49800,50399,1,1,1
t53_045,53,84,50400,50999,3,3,39
t74_011,74,96,57600,58199,1,1,15
t33_008,33,90,54000,54599,1,1,5
t74_012,74,110,66000,66599,1,1,18
t64_032,64,29,17400,17999,2,2,17
t33_009,33,46,27600,28199,2,2,4
t93_003,93,110,66000,66599,1,1,4
t64_033,64,123,73800,74399,2,2,31
t55_047,55,40,24000,24599,2,2,13
t64_034,64,27,16200,16799,3,3,14
t45_013,45,99,59400,59999,3,3,14
t44_031,44,134,80400,80999,3,3,17
t84_005,84,89,53400,53999,2,2,2
t74_013,74,19,11400,11999,3,3,5
t94_006,94,106,63600,64199,3,3,3
t10_002,10,96,57600,58199,1,1,1
t74_014,74,132,79200,79799,1,1,13
t48_007,48,136,81600,82199,3,3,6
t64_035,64,113,67800,68399,3,3,23
t44_032,44,87,52200,52799,3,3,25
t64_036,64,108,64800,65399,2,2,34
t36_000,36,47,28200,28799,1,1,2
t47_000,47,30,18000,18599,1,1,1
t44_033,44,69,41400,41999,1,1,18
t75_033,75,1,600,1199,1,1,7
t44_034,44,82,49200,49799,2,2,18
t43_016,43,123,73800,74399,3,3,14
t95_005,95,119,71400,71999,1,1,2
t53_046,53,134,80400,80999,3,3,26
t53_047,53,67,40200,40799,2,2,26
t44_035,44,68,40800,41399,2,2,12
t63_035,63,118,70800,71399,2,2,26
t53_048,53,113,67800,68399,2,2,32
t75_034,75,48,28800,29399,2,2,27
t44_036,44,74,44400,44999,1,1,18
t64_037,64,122,73200,73799,1,1,32
t63_036,63,84,50400,50999,3,3,28
t66_002,66,68,40800,41399,1,1,1
t55_048,55,137,82200,82799,2,2,25
t53_049,53,127,76200,76799,1,1,34
t64_038,64,76,45600,46199,1,1,38
t65_039,65,109,65400,65999,2,2,35
t53_050,53,85,51000,51599,1,1,35
t54_041,54,119,71400,71999,1,1,25
t63_037,63,136,81600,82199,1,1,27
t55_049,55,64,38400,38999,3,3,25
t73_014,73,117,70200,70799,1,1,11
t43_017,43,131,78600,79199,3,3,10
t54_042,54,111,66600,67199,3,3,27
t45_014,45,95,57000,57599,3,3,19
t64_039,64,85,51000,51599,2,2,37
t86_015,86,57,34200,34799,1,1,16
t52_009,52,30,18000,18599,2,2,3
t73_015,73,88,52800,53399,1,1,11
t55_050,55,96,57600,58199,1,1,28
t44_037,44,10,6000,6599,3,3,16
t60_002,60,64,38400,38999,1,1,1
t44_038,44,115,69000,69599,3,3,19
t53_051,53,111,66600,67199,1,1,32
t54_043,54,82,49200,49799,2,2,42
t54_044,54,26,15600,16199,2,2,15
t95_006,95,15,9000,9599,1,1,4
t33_010,33,40,24000,24599,1,1,6
t65_040,65,15,9000,9599,1,1,17
t63_038,63,78,46800,47399,1,1,21
t65_041,65,99,59400,59999,1,1,22
t44_039,44,116,69600,70199,1,1,25
t65_042,65,137,82200,82799,1,1,19
t54_045,54,2,1200,1799,2,2,20
t75_035,75,84,50400,50999,3,3,16
t64_040,64,101,60600,61199,1,1,32
t55_051,55,0,0,599,2,2,20
t44_040,44,118,70800,71399,3,3,23
t84_006,84,94,56400,56999,1,1,3
t65_043,65,16,9600,10199,3,3,17
t63_039,63,26,15600,16199,1,1,12
t64_041,64,123,73800,74399,2,2,31
t75_036,75,60,36000,36599,3,3,28
t43_018,43,9,5400,5999,3,3,14
t53_052,53,126,75600,76199,3,3,33
t86_016,86,55,33000,33599,2,2,19
t65_044,65,132,79200,79799,1,1,26
t64_042,64,82,49200,49799,3,3,43
t54_046,54,136,81600,82199,3,3,34
t53_053,53,57,34200,34799,1,1,22
t44_041,44,94,56400,56999,2,2,26
t44_042,44,12,7200,7799,1,1,15
t44_043,44,136,81600,82199,2,2,20
t97_012,97,32,19200,19799,2,2,11
t76_003,76,89,53400,53999,2,2,5
t63_040,63,86,51600,52199,3,3,28
t75_037,75,8,4800,5399,3,3,10
t99_003,99,49,29400,29999,2,2,2
t53_054,53,5,3000,3599,3,3,25
t53_055,53,54,32400,32999,3,3,11
t55_052,55,70,42000,42599,2,2,25
t96_015,96,37,22200,22799,1,1,13
t54_047,54,55,33000,33599,3,3,20
t54_048,54,60,36000,36599,1,1,23
t53_056,53,79,47400,47999,2,2,41
t75_038,75,53,31800,32399,2,2,24
t54_049,54,140,84000,84599,2,2,36
t73_016,73,11,6600,7199,2,2,9
