metric,value
std_cumulative_trusted_ratio_per_round_round_3,0.0
std_cumulative_trusted_ratio_per_round_round_4,0.0
std_cumulative_trusted_ratio_per_round_round_5,0.0
std_cumulative_trusted_ratio_per_round_round_6,0.0
std_cumulative_trusted_ratio_per_round_round_7,0.0
std_cumulative_trusted_ratio_per_round_round_8,0.0
std_cumulative_trusted_ratio_per_round_round_9,0.0
std_cumulative_trusted_ratio_per_round_round_10,0.0
std_cumulative_trusted_ratio_per_round_round_11,0.0
std_cumulative_trusted_ratio_per_round_round_12,0.0066
std_cumulative_trusted_ratio_per_round_round_13,0.0136
std_cumulative_trusted_ratio_per_round_round_14,0.0404
std_cumulative_trusted_ratio_per_round_round_15,0.0719
std_cumulative_trusted_ratio_per_round_round_16,0.0669
std_cumulative_trusted_ratio_per_round_round_17,0.0644
std_cumulative_trusted_ratio_per_round_round_18,0.0644
std_cumulative_trusted_ratio_per_round_round_19,0.0585
std_cumulative_trusted_ratio_per_round_round_20,0.0552
std_cumulative_trusted_ratio_per_round_round_21,0.0375
std_cumulative_trusted_ratio_per_round_round_22,0.0342
std_cumulative_trusted_ratio_per_round_round_23,0.03
std_cumulative_trusted_ratio_per_round_round_24,0.0273
std_cumulative_trusted_ratio_per_round_round_25,0.0255
std_cumulative_trusted_ratio_per_round_round_26,0.0219
std_cumulative_trusted_ratio_per_round_round_27,0.0201
std_cumulative_trusted_ratio_per_round_round_28,0.0248
std_cumulative_trusted_ratio_per_round_round_29,0.0225
std_cumulative_trusted_ratio_per_round_round_30,0.0217
std_cumulative_trusted_ratio_per_round_round_31,0.0206
std_cumulative_trusted_ratio_per_round_round_32,0.0121
std_cumulative_trusted_ratio_per_round_round_33,0.0145
std_cumulative_trusted_ratio_per_round_round_34,0.0193
std_cumulative_trusted_ratio_per_round_round_35,0.0234
std_cumulative_trusted_ratio_per_round_round_36,0.0224
std_cumulative_trusted_ratio_per_round_round_37,0.0215
std_cumulative_trusted_ratio_per_round_round_38,0.0206
std_cumulative_trusted_ratio_per_round_round_39,0.0199
std_cumulative_trusted_ratio_per_round_round_40,0.0179
std_cumulative_trusted_ratio_per_round_round_41,0.0172
std_cumulative_trusted_ratio_per_round_round_42,0.0162
std_cumulative_trusted_ratio_per_round_round_43,0.0155
std_cumulative_trusted_ratio_per_round_round_44,0.015
std_cumulative_trusted_ratio_per_round_round_45,0.0107
std_cumulative_trusted_ratio_per_round_round_46,0.0104
std_cumulative_trusted_ratio_per_round_round_47,0.0125
std_cumulative_trusted_ratio_per_round_round_48,0.0118
std_cumulative_trusted_ratio_per_round_round_49,0.0109
std_cumulative_trusted_ratio_per_round_round_50,0.0103
std_cumulative_trusted_ratio_per_round_round_51,0.0122
std_cumulative_trusted_ratio_per_round_round_52,0.0115
std_cumulative_trusted_ratio_per_round_round_53,0.0133
std_cumulative_trusted_ratio_per_round_round_54,0.0149
std_cumulative_trusted_ratio_per_round_round_55,0.0123
std_cumulative_trusted_ratio_per_round_round_56,0.0118
std_cumulative_trusted_ratio_per_round_round_57,0.0115
std_cumulative_trusted_ratio_per_round_round_58,0.0092
std_cumulative_trusted_ratio_per_round_round_59,0.0089
std_cumulative_trusted_ratio_per_round_round_60,0.0086
std_cumulative_trusted_ratio_per_round_round_61,0.0082
std_cumulative_trusted_ratio_per_round_round_62,0.0078
std_cumulative_trusted_ratio_per_round_round_63,0.0075
std_cumulative_trusted_ratio_per_round_round_64,0.0084
std_cumulative_trusted_ratio_per_round_round_65,0.0097
std_cumulative_trusted_ratio_per_round_round_66,0.0092
std_cumulative_trusted_ratio_per_round_round_67,0.0083
std_cumulative_trusted_ratio_per_round_round_68,0.0082
std_cumulative_trusted_ratio_per_round_round_69,0.0066
std_cumulative_trusted_ratio_per_round_round_70,0.0077
std_cumulative_trusted_ratio_per_round_round_71,0.0075
std_cumulative_trusted_ratio_per_round_round_72,0.0073
std_cumulative_trusted_ratio_per_round_round_73,0.007
std_cumulative_trusted_ratio_per_round_round_74,0.0068
std_cumulative_trusted_ratio_per_round_round_75,0.0063
std_cumulative_trusted_ratio_per_round_round_76,0.0053
std_cumulative_trusted_ratio_per_round_round_77,0.0051
std_cumulative_trusted_ratio_per_round_round_78,0.005
std_cumulative_trusted_ratio_per_round_round_79,0.0057
std_cumulative_trusted_ratio_per_round_round_80,0.0056
std_cumulative_trusted_ratio_per_round_round_81,0.0067
std_cumulative_trusted_ratio_per_round_round_82,0.0065
std_cumulative_trusted_ratio_per_round_round_83,0.0064
std_cumulative_trusted_ratio_per_round_round_84,0.0062
std_cumulative_trusted_ratio_per_round_round_85,0.006
std_cumulative_trusted_ratio_per_round_round_86,0.0073
std_cumulative_trusted_ratio_per_round_round_87,0.0071
std_cumulative_trusted_ratio_per_round_round_88,0.0081
std_cumulative_trusted_ratio_per_round_round_89,0.0085
std_cumulative_trusted_ratio_per_round_round_90,0.0085
std_cumulative_trusted_ratio_per_round_round_91,0.01
std_cumulative_trusted_ratio_per_round_round_92,0.0098
std_cumulative_trusted_ratio_per_round_round_93,0.0095
std_cumulative_trusted_ratio_per_round_round_94,0.0092
std_cumulative_trusted_ratio_per_round_round_95,0.0091
std_cumulative_trusted_ratio_per_round_round_96,0.0094
std_cumulative_trusted_ratio_per_round_round_97,0.0092
std_cumulative_trusted_ratio_per_round_round_98,0.0101
std_cumulative_trusted_ratio_per_round_round_99,0.0095
std_cumulative_trusted_ratio_per_round_round_100,0.0092
std_cumulative_trusted_ratio_per_round_round_101,0.0091
std_cumulative_trusted_ratio_per_round_round_102,0.009
std_cumulative_trusted_ratio_per_round_round_103,0.0093
std_cumulative_trusted_ratio_per_round_round_104,0.0091
std_cumulative_trusted_ratio_per_round_round_105,0.0089
std_cumulative_trusted_ratio_per_round_round_106,0.0087
std_cumulative_trusted_ratio_per_round_round_107,0.0085
std_cumulative_trusted_ratio_per_round_round_108,0.0087
std_platform_utility,110.2
std_final_coverage_rate,0.0054
std_total_cost,102.97
std_total_worker_reward,102.97
std_trusted_count,6.38
std_malicious_count,6.18
std_unknown_count,0.47
std_total_fee,38.88
std_total_bonus_paid,66.0
std_avg_roi,0.0093
std_unit_cost,0.02
