task_id,region_id,slot_id,start_time,end_time,required_workers,weight,candidate_capacity,true_value
t55_009,55,90,54000,54599,1,2.21,34,0.7826
t75_006,75,28,16800,17399,1,2.25,20,0.4316
t75_007,75,85,51000,51599,1,2.52,15,0.3149
t97_000,97,50,30000,30599,1,1.92,12,0.2451
t53_006,53,75,45000,45599,1,2.61,34,0.2244
t54_004,54,133,79800,80399,1,2.87,32,0.3742
t94_001,94,6,3600,4199,1,1.24,1,0.6906
t97_001,97,11,6600,7199,1,2.34,10,0.7337
t43_003,43,86,51600,52199,1,2.62,9,0.7166
t76_001,76,135,81000,81599,1,2.55,2,0.0443
t55_010,55,54,32400,32999,1,2.32,9,0.3758
t34_001,34,59,35400,35999,1,2.68,9,0.1213
t73_001,73,58,34800,35399,1,2.67,4,0.9524
t43_004,43,33,19800,20399,1,1.07,6,0.7674
t53_007,53,136,81600,82199,1,1.21,28,0.749
t98_002,98,71,42600,43199,1,2.1,4,0.8694
t54_005,54,80,48000,48599,1,1.48,35,0.1798
t44_004,44,135,81000,81599,1,1.51,20,0.5995
t97_002,97,10,6000,6599,1,2.93,8,0.3753
t44_005,44,102,61200,61799,1,2.69,26,0.9671
t75_008,75,128,76800,77399,1,1.31,11,0.4011
t84_000,84,53,31800,32399,1,1.19,3,0.7482
t21_000,21,90,54000,54599,1,2.17,1,0.8581
t54_006,54,106,63600,64199,1,1.29,36,0.5156
t98_003,98,74,44400,44999,1,2.34,3,0.8553
t35_001,35,10,6000,6599,1,2.78,3,0.3072
t44_006,44,88,52800,53399,1,1.4,20,0.5699
t44_007,44,108,64800,65399,1,2.55,24,0.1436
t13_000,13,35,21000,21599,1,2.4,2,0.2058
t43_005,43,46,27600,28199,1,1.96,7,0.7207
t74_005,74,75,45000,45599,1,2.57,12,0.8819
t55_011,55,99,59400,59999,1,2.78,42,0.6482
t51_000,51,48,28800,29399,1,2.92,1,0.8539
t44_008,44,75,45000,45599,1,2.55,19,0.1375
t64_004,64,81,48600,49199,1,2.8,44,0.255
t74_006,74,120,72000,72599,1,1.37,18,0.091
t42_000,42,22,13200,13799,1,1.19,2,0.8339
t65_006,65,102,61200,61799,1,1.9,24,0.7341
t65_007,65,63,37800,38399,1,1.67,30,0.4362
t53_008,53,81,48600,49199,1,2.29,27,0.7424
t53_009,53,90,54000,54599,1,2.09,40,0.1192
t44_009,44,13,7800,8399,1,1.23,17,0.8872
t85_000,85,50,30000,30599,1,2.06,2,0.7007
t33_000,33,13,7800,8399,1,2.51,4,0.2955
t33_001,33,96,57600,58199,1,1.21,7,0.9444
t65_008,65,70,42000,42599,1,2.33,34,0.5087
t55_012,55,139,83400,83999,1,2.36,30,0.5664
t54_007,54,87,52200,52799,1,1.36,36,0.8899
t64_005,64,13,7800,8399,1,1.22,12,0.5598
t32_000,32,40,24000,24599,1,2.11,3,0.6475
t96_001,96,29,17400,17999,1,2.56,10,0.7055
t55_013,55,46,27600,28199,1,2.51,14,0.5431
t63_002,63,88,52800,53399,1,1.2,29,0.2708
t55_014,55,111,66600,67199,1,1.08,35,0.5047
t44_010,44,129,77400,77999,1,2.75,20,0.945
t96_002,96,46,27600,28199,1,1.71,13,0.8469
t54_008,54,67,40200,40799,1,2.18,24,0.6815
t43_006,43,96,57600,58199,1,1.37,18,0.1892
t75_009,75,135,81000,81599,1,2.63,7,0.7487
t35_002,35,52,31200,31799,1,2.72,4,0.7982
t53_010,53,5,3000,3599,1,2.14,25,0.2021
t44_011,44,135,81000,81599,1,1.06,20,0.8032
t84_001,84,14,8400,8999,1,1.63,3,0.9062
t65_009,65,75,45000,45599,1,2.95,44,0.6866
t65_010,65,97,58200,58799,1,1.06,20,0.1905
t64_006,64,94,56400,56999,1,2.54,29,0.6619
t53_011,53,114,68400,68999,1,1.4,30,0.7822
t45_003,45,112,67200,67799,1,1.22,19,0.2833
t64_007,64,113,67800,68399,1,1.27,23,0.7924
t64_008,64,105,63000,63599,1,1.05,35,0.6183
t53_012,53,102,61200,61799,1,2.08,33,0.9298
t65_011,65,123,73800,74399,1,2.39,24,0.1344
t74_007,74,97,58200,58799,1,2.43,12,0.7397
t65_012,65,142,85200,85799,1,2.86,21,0.8615
t86_001,86,71,42600,43199,1,1.97,13,0.1091
t55_015,55,90,54000,54599,1,2.69,34,0.7058
t75_010,75,54,32400,32999,1,2.4,21,0.5374
t86_002,86,57,34200,34799,1,1.61,16,0.4644
t59_000,59,55,33000,33599,1,1.88,1,0.4554
t55_016,55,128,76800,77399,1,1.73,38,0.371
t53_013,53,129,77400,77999,1,1.45,28,0.0027
t45_004,45,134,80400,80999,1,1.29,16,0.46
t45_005,45,84,50400,50999,1,1.04,17,0.5845
t53_014,53,99,59400,59999,1,1.28,40,0.6087
t96_003,96,57,34200,34799,1,1.12,14,0.0224
t96_004,96,46,27600,28199,1,1.07,13,0.714
t44_012,44,109,65400,65999,1,1.79,25,0.0267
t27_001,27,55,33000,33599,1,1.48,2,0.3891
t54_009,54,130,78000,78599,1,2.24,29,0.3464
t54_010,54,89,53400,53999,1,2.61,37,0.2908
t24_000,24,20,12000,12599,1,2.58,3,0.9617
t53_015,53,89,53400,53999,1,1.06,41,0.337
t91_000,91,109,65400,65999,1,1.19,2,0.6824
t72_000,72,63,37800,38399,1,1.21,2,0.6808
t56_000,56,108,64800,65399,1,1.96,6,0.1891
t53_016,53,72,43200,43799,1,1.4,28,0.9738
t53_017,53,115,69000,69599,1,2.83,31,0.9401
t55_017,55,75,45000,45599,1,2.5,35,0.6315
t75_011,75,59,35400,35999,1,1.37,32,0.4131
t53_018,53,55,33000,33599,1,2.07,15,0.7783
t75_012,75,86,51600,52199,1,2.67,15,0.5533
t32_001,32,96,57600,58199,1,2.6,1,0.4384
t96_005,96,34,20400,20999,1,1.69,12,0.8209
t53_019,53,53,31800,32399,1,2.9,11,0.0427
t54_011,54,22,13200,13799,1,2.65,21,0.092
t66_000,66,85,51000,51599,1,1.64,2,0.6007
t23_000,23,21,12600,13199,1,2.76,2,0.8723
t96_006,96,54,32400,32999,1,2.99,17,0.0017
t45_006,45,82,49200,49799,1,1.68,12,0.3113
t96_007,96,55,33000,33599,1,1.48,18,0.0488
t54_012,54,47,28200,28799,1,2.17,18,0.0117
t47_000,47,76,45600,46199,1,1.44,1,0.5625
t86_003,86,67,40200,40799,1,2.58,11,0.5352
t54_013,54,117,70200,70799,1,2.24,27,0.0413
t34_002,34,57,34200,34799,1,2.72,8,0.1014
t97_003,97,26,15600,16199,1,1.17,15,0.4652
t45_007,45,5,3000,3599,1,2.28,10,0.7614
t74_008,74,139,83400,83999,1,1.81,12,0.6611
t51_001,51,23,13800,14399,1,2.67,1,0.5944
t34_003,34,25,15000,15599,1,1.23,7,0.0076
t65_013,65,97,58200,58799,1,1.68,20,0.192
t63_003,63,30,18000,18599,1,1.85,10,0.6484
t64_009,64,123,73800,74399,1,1.5,31,0.838
t55_018,55,85,51000,51599,1,1.86,32,0.0842
t45_008,45,119,71400,71999,1,2.5,15,0.2069
t45_009,45,122,73200,73799,1,2.86,17,0.5357
t86_004,86,55,33000,33599,1,2.81,19,0.9496
t53_020,53,79,47400,47999,1,1.94,41,0.5876
t55_019,55,76,45600,46199,1,1.37,25,0.0959
t63_004,63,117,70200,70799,1,2.01,26,0.0614
t76_002,76,33,19800,20399,1,2.49,5,0.276
t86_005,86,26,15600,16199,1,1.94,2,0.1967
t62_000,62,82,49200,49799,1,1.21,7,0.2993
t75_013,75,107,64200,64799,1,1.41,10,0.4873
t34_004,34,15,9000,9599,1,2.95,6,0.9797
t74_009,74,17,10200,10799,1,2.89,7,0.4313
t97_004,97,15,9000,9599,1,2.05,9,0.5421
t65_014,65,44,26400,26999,1,1.57,25,0.4632
t84_002,84,80,48000,48599,1,2.5,3,0.9301
t53_021,53,34,20400,20999,1,1.26,8,0.5309
t53_022,53,75,45000,45599,1,2.9,34,0.0019
t60_000,60,4,2400,2999,1,1.71,1,0.9656
t65_015,65,130,78000,78599,1,1.98,22,0.2387
t44_013,44,53,31800,32399,1,2.67,11,0.6035
t34_005,34,91,54600,55199,1,1.62,7,0.2472
t23_001,23,29,17400,17999,1,2.45,2,0.3395
t56_001,56,136,81600,82199,1,2.25,3,0.6752
t87_000,87,143,85800,86399,1,2.91,1,0.7437
t73_002,73,16,9600,10199,1,2.02,7,0.831
t43_007,43,78,46800,47399,1,1.03,15,0.0454
t53_023,53,81,48600,49199,1,2.79,27,0.9062
t76_003,76,46,27600,28199,1,1.74,6,0.6322
t65_016,65,106,63600,64199,1,2.37,22,0.9921
t53_024,53,12,7200,7799,1,2.55,14,0.4441
t44_014,44,20,12000,12599,1,1.91,11,0.9593
t54_014,54,54,32400,32999,1,1.28,23,0.0378
t53_025,53,81,48600,49199,1,2.66,27,0.9313
t64_010,64,137,82200,82799,1,1.63,29,0.5977
t54_015,54,111,66600,67199,1,1.56,27,0.7094
t87_001,87,42,25200,25799,1,1.87,1,0.0758
t55_020,55,74,44400,44999,1,2.79,39,0.9603
t64_011,64,91,54600,55199,1,1.62,32,0.3458
t64_012,64,120,72000,72599,1,1.63,29,0.2709
t97_005,97,49,29400,29999,1,1.63,15,0.3925
t44_015,44,17,10200,10799,1,1.83,13,0.4133
t95_000,95,23,13800,14399,1,1.46,4,0.2
t55_021,55,116,69600,70199,1,2.49,31,0.8383
t64_013,64,69,41400,41999,1,2.88,29,0.9744
t66_001,66,5,3000,3599,1,1.54,5,0.4828
t44_016,44,87,52200,52799,1,1.35,25,0.4866
t54_016,54,14,8400,8999,1,2.81,16,0.1779
t91_001,91,109,65400,65999,1,2.29,2,0.1422
t55_022,55,114,68400,68999,1,1.62,43,0.6486
t54_017,54,133,79800,80399,1,1.1,32,0.9608
t53_026,53,74,44400,44999,1,2.56,26,0.4333
t54_018,54,86,51600,52199,1,1.56,34,0.1313
t54_019,54,137,82200,82799,1,1.77,29,0.9379
t64_014,64,118,70800,71399,1,1.01,32,0.3709
t54_020,54,61,36600,37199,1,1.49,22,0.3544
t97_006,97,52,31200,31799,1,1.21,18,0.8469
t76_004,76,58,34800,35399,1,2.06,7,0.8541
t96_008,96,56,33600,34199,1,1.93,14,0.5381
t96_009,96,56,33600,34199,1,2.67,14,0.2005
t35_003,35,99,59400,59999,1,1.6,4,0.8588
t68_000,68,42,25200,25799,1,1.53,1,0.2024
t55_023,55,111,66600,67199,1,1.82,35,0.8727
t54_021,54,78,46800,47399,1,1.32,36,0.1225
t75_014,75,120,72000,72599,1,2.05,9,0.766
t55_024,55,12,7200,7799,1,1.65,20,0.5905
t45_010,45,121,72600,73199,1,2.01,12,0.3735
t65_017,65,114,68400,68999,1,2.41,36,0.771
t63_005,63,132,79200,79799,1,2.72,23,0.8352
t65_018,65,52,31200,31799,1,1.54,24,0.1232
t53_027,53,96,57600,58199,1,2.46,39,0.2486
t86_006,86,58,34800,35399,1,1.91,20,0.4779
t53_028,53,132,79200,79799,1,2.97,27,0.5285
t86_007,86,6,3600,4199,1,1.14,8,0.4255
t74_010,74,87,52200,52799,1,1.12,14,0.8545
t75_015,75,37,22200,22799,1,1.73,20,0.2147
t53_029,53,26,15600,16199,1,1.86,10,0.8675
t63_006,63,96,57600,58199,1,1.02,21,0.3721
t75_016,75,79,47400,47999,1,1.75,22,0.6517
t74_011,74,55,33000,33599,1,1.29,7,0.2199
t75_017,75,78,46800,47399,1,1.28,23,0.0815
t65_019,65,119,71400,71999,1,1.39,28,0.0284
t63_007,63,99,59400,59999,1,2.07,28,0.7374
t73_003,73,83,49800,50399,1,1.88,13,0.6824
t54_022,54,125,75000,75599,1,1.45,35,0.1389
t65_020,65,51,30600,31199,1,1.23,27,0.1737
t83_000,83,81,48600,49199,1,1.06,1,0.3513
t48_002,48,119,71400,71999,1,1.95,1,0.14
t45_011,45,106,63600,64199,1,2.17,15,0.9497
t65_021,65,94,56400,56999,1,1.19,27,0.9791
t66_002,66,114,68400,68999,1,1.13,5,0.8772
t63_008,63,140,84000,84599,1,1.13,20,0.0095
t53_030,53,84,50400,50999,1,2.26,39,0.0942
t64_015,64,85,51000,51599,1,2.76,37,0.226
t65_022,65,122,73200,73799,1,2.92,27,0.0519
t53_031,53,110,66000,66599,1,2.15,34,0.0853
t44_017,44,63,37800,38399,1,2.65,15,0.9182
t75_018,75,70,42000,42599,1,2.96,30,0.6614
t53_032,53,127,76200,76799,1,2.15,34,0.3427
t35_004,35,105,63000,63599,1,2.24,8,0.3549
t52_001,52,124,74400,74999,1,1.89,4,0.7213
t74_012,74,95,57000,57599,1,1.99,16,0.8538
t54_023,54,93,55800,56399,1,2.88,41,0.1197
t10_000,10,32,19200,19799,1,2.68,2,0.3154
t63_009,63,39,23400,23999,1,2.0,10,0.3843
t74_013,74,102,61200,61799,1,1.47,15,0.3669
t45_012,45,15,9000,9599,1,1.5,13,0.2634
t66_003,66,66,39600,40199,1,2.46,1,0.2076
t65_023,65,46,27600,28199,1,2.13,25,0.2455
t63_010,63,12,7200,7799,1,2.62,15,0.3648
t44_018,44,63,37800,38399,1,2.2,15,0.4245
t54_024,54,73,43800,44399,1,1.88,31,0.056
t62_001,62,8,4800,5399,1,1.98,2,0.579
t44_019,44,8,4800,5399,1,2.37,15,0.2219
t34_006,34,41,24600,25199,1,1.69,5,0.9955
t53_033,53,78,46800,47399,1,1.23,42,0.4192
t74_014,74,117,70200,70799,1,2.17,11,0.1077
t53_034,53,127,76200,76799,1,1.96,34,0.5393
t74_015,74,131,78600,79199,1,1.75,12,0.0419
t65_024,65,10,6000,6599,1,2.25,20,0.702
t12_000,12,69,41400,41999,1,2.17,1,0.678
t65_025,65,78,46800,47399,1,2.98,32,0.836
t63_011,63,143,85800,86399,1,2.85,14,0.423
t43_008,43,111,66600,67199,1,1.85,18,0.37
t54_025,54,86,51600,52199,1,2.4,34,0.5625
t75_019,75,40,24000,24599,1,1.65,19,0.1621
t11_000,11,30,18000,18599,1,1.35,1,0.3944
t45_013,45,86,51600,52199,1,2.11,12,0.3657
t63_012,63,134,80400,80999,1,2.4,20,0.1658
t64_016,64,19,11400,11999,1,1.2,19,0.5375
t32_002,32,16,9600,10199,1,1.79,2,0.0661
t44_020,44,51,30600,31199,1,1.46,12,0.2609
t45_014,45,112,67200,67799,1,1.95,19,0.434
t44_021,44,5,3000,3599,1,1.53,17,0.7802
t97_007,97,42,25200,25799,1,1.49,15,0.2584
t65_026,65,10,6000,6599,1,2.81,20,0.0986
t63_013,63,67,40200,40799,1,1.45,34,0.4571
t82_000,82,82,49200,49799,1,2.66,1,0.1419
t55_025,55,90,54000,54599,1,1.54,34,0.5088
t75_020,75,85,51000,51599,1,2.49,15,0.5042
t79_000,79,45,27000,27599,1,2.96,1,0.43
t65_027,65,124,74400,74999,1,2.17,23,0.3881
t55_026,55,100,60000,60599,1,1.86,42,0.0015
t49_000,49,81,48600,49199,1,2.01,1,0.9531
t74_016,74,71,42600,43199,1,1.51,12,0.6282
t43_009,43,134,80400,80999,1,1.41,9,0.1585
t24_001,24,94,56400,56999,1,1.97,2,0.7385
t54_026,54,38,22800,23399,1,2.34,17,0.6038
t54_027,54,142,85200,85799,1,1.17,27,0.0799
t33_002,33,34,20400,20999,1,1.01,6,0.0828
t62_002,62,137,82200,82799,1,2.42,5,0.5529
t64_017,64,97,58200,58799,1,1.53,37,0.701
t48_003,48,18,10800,11399,1,2.36,5,0.4153
t48_004,48,61,36600,37199,1,2.04,5,0.3278
t72_001,72,66,39600,40199,1,1.09,2,0.2114
t57_000,57,119,71400,71999,1,2.87,3,0.7213
t64_018,64,139,83400,83999,1,1.9,30,0.8002
t65_028,65,30,18000,18599,1,1.32,22,0.3923
t75_021,75,67,40200,40799,1,2.09,27,0.5975
t65_029,65,127,76200,76799,1,1.81,31,0.5884
t45_015,45,32,19200,19799,1,2.14,7,0.2654
t52_002,52,58,34800,35399,1,2.32,5,0.7355
t53_035,53,71,42600,43199,1,2.27,23,0.8
t54_028,54,74,44400,44999,1,2.0,31,0.0997
t98_004,98,63,37800,38399,1,1.88,8,0.1261
t15_000,15,27,16200,16799,1,1.45,1,0.5261
t65_030,65,124,74400,74999,1,2.0,23,0.4797
t44_022,44,130,78000,78599,1,1.04,21,0.023
t64_019,64,81,48600,49199,1,2.42,44,0.869
t93_000,93,3,1800,2399,1,1.69,3,0.2963
t34_007,34,28,16800,17399,1,1.6,6,0.305
t54_029,54,136,81600,82199,1,1.81,34,0.6497
t54_030,54,77,46200,46799,1,1.47,35,0.1585
t75_022,75,54,32400,32999,1,2.26,21,0.0827
t33_003,33,99,59400,59999,1,1.99,8,0.3623
t53_036,53,94,56400,56999,1,1.84,35,0.7109
t43_010,43,118,70800,71399,1,1.87,8,0.3434
t98_005,98,17,10200,10799,1,1.61,5,0.7381
t44_023,44,121,72600,73199,1,2.5,21,0.2056
t55_027,55,60,36000,36599,1,2.49,15,0.9568
t53_037,53,115,69000,69599,1,2.44,31,0.6
t64_020,64,97,58200,58799,1,2.22,37,0.2415
t54_031,54,86,51600,52199,1,2.31,34,0.9136
t96_010,96,68,40800,41399,1,2.77,8,0.5648
t65_031,65,72,43200,43799,1,2.64,38,0.3645
t34_008,34,27,16200,16799,1,1.73,6,0.7255
t44_024,44,98,58800,59399,1,1.28,27,0.879
t52_003,52,91,54600,55199,1,2.28,6,0.7277
t55_028,55,34,20400,20999,1,1.96,12,0.3785
t53_038,53,98,58800,59399,1,2.23,40,0.4743
t55_029,55,137,82200,82799,1,2.83,25,0.1944
t84_003,84,86,51600,52199,1,2.96,2,0.1379
t51_002,51,70,42000,42599,1,1.24,3,0.5947
t97_008,97,41,24600,25199,1,2.1,14,0.1287
t86_008,86,57,34200,34799,1,1.32,16,0.6905
t64_021,64,110,66000,66599,1,1.63,29,0.4429
t98_006,98,33,19800,20399,1,2.1,8,0.5907
t65_032,65,69,41400,41999,1,1.43,30,0.1213
t45_016,45,93,55800,56399,1,2.78,17,0.2439
t45_017,45,35,21000,21599,1,1.46,7,0.9011
t65_033,65,6,3600,4199,1,2.55,16,0.8331
t45_018,45,130,78000,78599,1,1.0,18,0.6445
t34_009,34,67,40200,40799,1,2.87,7,0.7531
t34_010,34,64,38400,38999,1,2.58,5,0.3439
t65_034,65,128,76800,77399,1,2.94,31,0.9053
t10_001,10,45,27000,27599,1,1.91,2,0.2511
t53_039,53,1,600,1199,1,1.53,22,0.2881
t97_009,97,36,21600,22199,1,1.9,12,0.2041
t65_035,65,135,81000,81599,1,1.21,22,0.8984
t75_023,75,97,58200,58799,1,2.59,14,0.7786
t44_025,44,107,64200,64799,1,2.22,25,0.1222
t54_032,54,28,16800,17399,1,1.69,14,0.1696
t65_036,65,80,48000,48599,1,2.56,33,0.6074
t55_030,55,105,63000,63599,1,2.11,40,0.02
t96_011,96,56,33600,34199,1,3.0,14,0.1684
t48_005,48,8,4800,5399,1,1.74,5,0.8541
t44_026,44,139,83400,83999,1,2.69,21,0.3753
t65_037,65,64,38400,38999,1,2.46,27,0.934
t65_038,65,87,52200,52799,1,2.07,31,0.0103
t55_031,55,2,1200,1799,1,1.37,28,0.9814
t54_033,54,78,46800,47399,1,1.35,36,0.7952
t44_027,44,127,76200,76799,1,1.73,23,0.0044
t45_019,45,33,19800,20399,1,2.75,8,0.9797
t55_032,55,111,66600,67199,1,1.33,35,0.6408
t53_040,53,97,58200,58799,1,2.49,40,0.7957
t03_000,3,57,34200,34799,1,2.75,1,0.5485
t55_033,55,118,70800,71399,1,2.33,24,0.2016
t55_034,55,36,21600,22199,1,2.32,14,0.0286
t45_020,45,142,85200,85799,1,1.08,15,0.5106
t98_007,98,13,7800,8399,1,1.65,5,0.4451
t24_002,24,39,23400,23999,1,2.53,2,0.6982
t57_001,57,138,82800,83399,1,2.4,1,0.6459
t56_002,56,62,37200,37799,1,1.26,6,0.8468
t96_012,96,36,21600,22199,1,2.34,13,0.1365
t63_014,63,110,66000,66599,1,2.72,25,0.2814
t44_028,44,101,60600,61199,1,2.09,31,0.3337
t34_011,34,108,64800,65399,1,2.04,6,0.6985
t65_039,65,114,68400,68999,1,1.69,36,0.751
t54_034,54,22,13200,13799,1,1.15,21,0.9281
t63_015,63,111,66600,67199,1,1.81,21,0.9588
t86_009,86,2,1200,1799,1,2.84,10,0.6259
t48_006,48,122,73200,73799,1,1.88,3,0.0547
t64_022,64,65,39000,39599,1,2.24,31,0.4952
t53_041,53,125,75000,75599,1,2.55,29,0.7421
t74_017,74,87,52200,52799,1,1.17,14,0.6909
t34_012,34,102,61200,61799,1,1.79,4,0.1644
t74_018,74,59,35400,35999,1,2.92,9,0.9071
t44_029,44,4,2400,2999,1,2.87,18,0.6251
t44_030,44,106,63600,64199,1,1.58,28,0.6597
t34_013,34,101,60600,61199,1,1.0,4,0.4395
t53_042,53,89,53400,53999,1,2.82,41,0.6366
t62_003,62,105,63000,63599,1,2.25,5,0.5848
t53_043,53,91,54600,55199,1,1.69,34,0.0644
t43_011,43,18,10800,11399,1,2.76,9,0.0741
t73_004,73,65,39000,39599,1,1.08,7,0.1579
t55_035,55,1,600,1199,1,2.16,28,0.2385
t63_016,63,94,56400,56999,1,1.02,22,0.5454
t33_004,33,18,10800,11399,1,1.28,6,0.2858
t44_031,44,132,79200,79799,1,2.16,24,0.149
t86_010,86,24,14400,14999,1,1.12,3,0.9209
t73_005,73,16,9600,10199,1,2.95,7,0.2669
t65_040,65,49,29400,29999,1,1.02,30,0.9632
t42_001,42,0,0,599,1,2.49,3,0.3963
t83_001,83,65,39000,39599,1,2.37,6,0.845
t55_036,55,90,54000,54599,1,2.88,34,0.1837
t85_001,85,15,9000,9599,1,2.76,2,0.74
t98_008,98,36,21600,22199,1,2.94,8,0.2327
t97_010,97,52,31200,31799,1,1.74,18,0.3554
t64_023,64,32,19200,19799,1,1.73,10,0.7364
t44_032,44,110,66000,66599,1,1.97,25,0.195
t43_012,43,81,48600,49199,1,2.96,16,0.7592
t53_044,53,128,76800,77399,1,2.77,33,0.1652
t73_006,73,79,47400,47999,1,2.98,15,0.7596
t75_024,75,55,33000,33599,1,1.76,26,0.106
t74_019,74,21,12600,13199,1,2.65,6,0.3565
t65_041,65,141,84600,85199,1,2.29,29,0.7736
t54_035,54,51,30600,31199,1,2.03,22,0.2856
t24_003,24,46,27600,28199,1,2.45,2,0.1932
t66_004,66,120,72000,72599,1,2.31,1,0.2135
t63_017,63,113,67800,68399,1,1.75,26,0.589
t96_013,96,51,30600,31199,1,2.97,9,0.1112
t43_013,43,83,49800,50399,1,2.31,8,0.5797
t74_020,74,92,55200,55799,1,2.91,12,0.8278
t53_045,53,28,16800,17399,1,1.62,8,0.3567
t63_018,63,3,1800,2399,1,1.52,26,0.9316
t34_014,34,69,41400,41999,1,2.54,8,0.6726
t44_033,44,128,76800,77399,1,1.32,20,0.8579
t52_004,52,105,63000,63599,1,1.17,8,0.8194
t57_002,57,74,44400,44999,1,2.74,2,0.5585
t86_011,86,36,21600,22199,1,2.25,4,0.3145
t34_015,34,127,76200,76799,1,2.27,4,0.5858
t74_021,74,11,6600,7199,1,2.94,11,0.0711
t44_034,44,112,67200,67799,1,1.53,21,0.0683
t44_035,44,101,60600,61199,1,1.56,31,0.6393
t44_036,44,130,78000,78599,1,2.73,21,0.049
t55_037,55,4,2400,2999,1,1.3,30,0.6248
t64_024,64,120,72000,72599,1,1.4,29,0.1694
t52_005,52,93,55800,56399,1,1.79,4,0.5033
t56_003,56,1,600,1199,1,2.64,9,0.2072
t62_004,62,84,50400,50999,1,2.56,6,0.109
t55_038,55,64,38400,38999,1,2.12,25,0.3032
t73_007,73,5,3000,3599,1,1.37,14,0.184
t67_000,67,134,80400,80999,1,2.77,1,0.5001
t54_036,54,51,30600,31199,1,1.45,22,0.4849
t75_025,75,83,49800,50399,1,2.77,16,0.2308
t65_042,65,131,78600,79199,1,2.76,24,0.6406
t54_037,54,98,58800,59399,1,1.9,30,0.7699
t44_037,44,104,62400,62999,1,2.71,26,0.8374
